Block,BlockLayers,DecoderSubmodule,LeafModule,KernelName,Calls,Total_us,PerLayer_us
L,78,Attn(MLA),ReplicatedLinear,"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x64x256_MI16x16x1_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDST",21,630.2,2.02
L,78,Attn(MLA),RotaryEmbedding,"void aiter::kn_entry_2c_sbhd_cached_indirect_inplace<aiter::OpCachedFwd, 1, true, false, true, true, 4, true, c10::BFloat16, c10::BFloat16, long>(c10::BFloat16*, c10::BFloat16*, c10::BFloat16 const*, ",84,2575.8,8.26
L,78,Attn(MLA),RowParallelLinear,"Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1",312,158223.0,507.13
L,78,Norm/Residual,RMSNorm,"_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi24ELb1ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_dbiiiiiiibb",620,71845.2,230.27
L,78,Norm/Residual,RMSNorm,"_ZN5aiter24add_rmsnorm_quant_kernelIDF16bDF16bLi256ELi24ELb0ELb0ELb1ELi1EEEvPT0_PT_PfS4_S4_S4_dbiiiiiiibb",4,243.4,0.78
B,75,AllReduce(TP),DeepseekV2MoE,"void quickreduce::allreduce_prototype_twoshot<quickreduce::AllReduceTwoshot<__half, quickreduce::CodecQ4<__half, 4>, true>, __half>(__half const*, __half*, unsigned int, unsigned int, int, unsigned ch",4,2892.6,9.64
B,75,MoE,FusedMoE,"mfma_moe1_silu_mul_afp4_wfp4_bf16_t128x128x256_pm1_async_xcd4_v32",225,154262.7,514.21
B,75,MoE,FusedMoE,"mfma_moe2_afp4_wfp4_bf16_cshuffle_t64x128x256_vscale_fix3_fp4opt_v1_persist_cu256_sbm128_xcd4_acc0",150,119146.4,397.15
B,75,MoE,FusedMoE,"moe_reduction_kernel_plain_bf16_topk9_md6144",300,118374.0,394.58
B,75,MoE,FusedMoE,"mfma_moe2_afp4_wfp4_bf16_cshuffle_t64x256x256_vscale_fix3_fp4opt_v1_persist_cu256_sbm128_xcd4_acc0",75,80724.7,269.08
B,75,MoE,FusedMoE,"mfma_moe2_afp4_wfp4_bf16_cshuffle_t64x256x256_vscale_fix3_fp4opt_v1_persist_cu256_xcd4_acc0",75,29506.2,98.35
B,75,MoE,FusedMoE,"mfma_moe1_silu_mul_afp4_wfp4_bf16_t64x128x256_pm1_async_xcd4_v32",75,25259.9,84.20
B,75,MoE,FusedMoE,"_ZN5aiter37dynamic_per_group_scaled_quant_kernelIDF16bN4opus5fp4_tELi32ELi32ELb0ELi64ELb1EEEvPT0_PfPKT_PKfliilPKii",600,21529.9,71.77
B,75,MoE,FusedMoE,"void aiter::mxfp4_moe_sort_kernel<256, 32, 24, 32>(unsigned char*, unsigned char*, int const*, int const*, int, int, int, int, int)",300,9398.4,31.33
B,75,MoE,FusedMoE,"p23_kernel_3",300,8201.2,27.34
