"Profile: GLM-5.2 decode, in1024/out1024, conc4, TP0 (graph-on stats + no-cuda-graph structure)",,,,,,,,,,,,
MI355X trace: in1024_out1024_conc4_p8-AMD-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,
B200 trace: in1024_out1024_conc4_p8-NV-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,
"GPU-busy (graph-ON, per decode step): MI355X 16.98 ms (overlap 1.00x) | B200 48.05 ms (overlap 1.33x) | B200/MI355X = 283%",,,,,,,,,,,,
NOTE: the Σduration table/Summary below ignores cross-stream overlap; use the GPU-busy line above for wall-clock (TPOT) comparison.,,,,,,,,,,,,
,,,,,,,,,,,,
LayerType,Section,LeafModule,LayerCount,#,MI355X_KernelName,MI355X_us,B200_us,B200_KernelName,MI355X_CallSite,B200_CallSite,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,Indexer,3,0,"void fast_hadamard_transform_kernel<fast_hadamard_transform_kernel_traits<16, 7, c10::BFloat16> >(HadamardParamsBase)",4.814,1.783,"(anonymous namespace)::topk_transform_decode_kernel((anonymous namespace)::FastTopKParams, int*, int const*, long)",/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(316): rotate_activation,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_topk_backend.py(75): topk_transform,,
,,,,1,"void fast_hadamard_transform_kernel<fast_hadamard_transform_kernel_traits<16, 7, c10::BFloat16> >(HadamardParamsBase)",4.814,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(316): rotate_activation,,,
,,,,2,act_quant_kernel__kernel,5.782,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/tilelang_kernel.py(142): act_quant,,,
,,,,3,_ZN5aiter32indexer_k_quant_and_cache_kernelIDF16bDB8_LN4vllm18Fp8KVCacheDataTypeE1ELi8ELi8ELi16EEEvPKT_PT0_PKliiiiibb,5.803,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(1501): _store_index_k_cache,,,
,,,,4,"void aiter::wv_splitk_small_fp16_bf16_kernel<__hip_bfloat16, 64, 1, 1, 8, 4, 4>(int, int, __hip_bfloat16 const*, __hip_bfloat16 const*, __hip_bfloat16*, int, int)",6.829,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(479): _get_logits_head_gate,,,
,,,,5,triton_poi_fused_mul_unsqueeze_0,5.473,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(479): _get_logits_head_gate,,,
,,,,6,_gluon_deepgemm_fp8_paged_mqa_logits_preshuffle,4.887,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(777): _get_topk_paged,,,
,,,,7,"(anonymous namespace)::topk_transform_decode_kernel((anonymous namespace)::FastTopKParams, int*, int const*, long)",5.78,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_topk_backend.py(75): topk_transform,,,
,DeepseekV2AttentionMLA,(self),,,,,6.571,nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,forward_mla.py(230),3,0,"void at::native::vectorized_elementwise_kernel<8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",5.498,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(230): forward_absorb_prepare,,,
,,,,1,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x64_MI16x16x1_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT2_1_MO40_NTn1_NTA0_NTB0_NTC3_NTD1_NTM0_NEPBS10_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO1_SRVW0_SSO0_SVW2_SK3_SKFTR0_SKXCCM0_TLDS2_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA2_VWB1_WSGRA0_WSGRB0_WS64_WG16_4_1,5.797,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(230): forward_absorb_prepare,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,fused_kv_cache.py(88),3,0,_fused_qk_rope_cat_and_cache_mla_kernel,4.699,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(581): forward_absorb_core,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,RadixAttention,3,0,main_kernel,9.223,2.89,"void flashinfer::RopeQuantizeKernel<true, 16u, 1u, __nv_bfloat16, long, __nv_fp8_e4m3>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, __nv_fp8_e4m3*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, float, float)",/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/tilelang_kernel.py(1333): tilelang_sparse_fwd,/sgl-workspace/sglang/python/sglang/srt/layers/attention/utils.py(89): mla_quantize_and_rope_for_fp8,,
,,,,1,main_kernel,9.223,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/tilelang_kernel.py(1333): tilelang_sparse_fwd,,,
,DeepseekV2AttentionMLA,(self),,,,,1.942,set_mla_kv_buffer_kernel,,,,
,DeepseekV2AttentionMLA,(self),,,,,9.52,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta128PagedKvDenseStaticTokenSparseP1MultiCtasKvVarSeqQ16Kv128StaticSwapsAbForGen,,,,
,DeepseekV2AttentionMLA,(self),,,,,6.061,nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN,,,,
,DeepseekV2AttentionMLA,(self),,,,,6.571,nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,forward_mla.py(581),3,0,"void at::native::vectorized_elementwise_kernel<8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",5.498,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(581): forward_absorb_core,,,
