"Profile: GLM-5 FP4 DECODE  in1024/out1024/conc4  TP-0  (MI355X=mxfp4/ROCm, B200=nvfp4/CUDA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI355X trace: in1024_out1024_conc4_p8-AMD-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B200 trace: in1024_out1024_conc4_p8-NV-TP-0-DECODE.trace.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GPU-busy (graph-ON, per decode step): MI355X 18.12 ms (overlap 1.00x) | B200 12.28 ms (overlap 1.43x) | B200/MI355X = 68%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTE: the Σduration table/Summary below ignores cross-stream overlap; use the GPU-busy line above for wall-clock (TPOT) comparison.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LayerType,Section,LeafModule,LayerCount,#,MI355X_KernelName,MI355X_us,B200_us,B200_KernelName,MI355X_CallSite,B200_CallSite,,,,,,,,,,,,,,,,,,,
,,,,1,"void fast_hadamard_transform_kernel<fast_hadamard_transform_kernel_traits<16, 7, c10::BFloat16> >(HadamardParamsBase)",3.872,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(310): rotate_activation,,,,,,,,,,,,,,,,,,,,
,,,,2,act_quant_kernel__kernel,4.86,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/tilelang_kernel.py(142): act_quant,,,,,,,,,,,,,,,,,,,,
,,,,3,_ZN5aiter32indexer_k_quant_and_cache_kernelIDF16bDB8_LN4vllm18Fp8KVCacheDataTypeE1ELi8ELi8ELi16EEEvPKT_PT0_PKliiiiibb,4.044,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(1259): _store_index_k_cache,,,,,,,,,,,,,,,,,,,,
,,,,4,"void aiter::wv_splitk_small_fp16_bf16_kernel<__hip_bfloat16, 64, 1, 1, 8, 4, 4>(int, int, __hip_bfloat16 const*, __hip_bfloat16 const*, __hip_bfloat16*, int, int)",5.906,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(455): _get_logits_head_gate,,,,,,,,,,,,,,,,,,,,
,,,,5,triton_poi_fused_mul_unsqueeze_0,4.143,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(455): _get_logits_head_gate,,,,,,,,,,,,,,,,,,,,
,,,,6,_gluon_deepgemm_fp8_paged_mqa_logits_preshuffle,3.875,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_indexer.py(590): _get_topk_paged,,,,,,,,,,,,,,,,,,,,
,,,,7,"(anonymous namespace)::topk_transform_decode_kernel((anonymous namespace)::FastTopKParams, int*, int const*, long)",4.056,,,/sgl-workspace/sglang/python/sglang/srt/layers/attention/dsa/dsa_topk_backend.py(75): topk_transform,,,,,,,,,,,,,,,,,,,,
,DeepseekV2AttentionMLA,(self),,,,,7.865,nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT,,,,,,,,,,,,,,,,,,,,,
A: DeepseekV2AttentionMLA + DeepseekV2MLP,DeepseekV2AttentionMLA,forward_mla.py(143),3,0,"void at::native::vectorized_elementwise_kernel<8, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>)",4.579,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(143): forward_absorb_prepare,,,,,,,,,,,,,,,,,,,,
,,,,1,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT32x16x64_MI16x16x1_SN_LDSB0_AFC0_AFEM1_AFEM1_ASEM1_CLR0_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LDSTI0_LBSPPA1024_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT2_1_MO40_NTn1_NTA0_NTB0_NTC3_NTD1_NTM0_NEPBS10_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO1_SRVW0_SSO0_SVW2_SK3_SKFTR0_SKXCCM0_TLDS2_ULSGRO0_USL1_UIOFGRO0_USFGROn1_VSn1_VWA2_VWB1_WSGRA0_WSGRB0_WS64_WG16_4_1,4.938,,,/sgl-workspace/sglang/python/sglang/srt/models/deepseek_common/attention_forward_methods/forward_mla.py(143): forward_absorb_prepare,,,,,,,,,,,,,,,,,,,,
